projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted
16bc417657fbe76156b238f0d2bf9557,68fbe2c09342d35fb8831215726de58f,c46204c24d4ee1416695e6219b7b1b8e,1.80387E+11,41.613398,-87.262466,Gary,IN,46403,urban,Gary Cmty School District,Lake,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,30,483.64,568.99,22,f,f,5/11/2014
137cc8578133ac213d87e7408dc8b6a5,4cda287dd1e78c9e71c42a69f4d81592,91e21558106c5bf6f26bbd047dc1340b,61551001971,34.432667,-119.794609,Santa Barbara,CA,93111,suburban,Goleta Union School District,Santa Barbara,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Other,high poverty,Grades 3-5,30,223.91,263.42,30,f,f,5/11/2014
207f8821d991dbdcfad8da97fa2e2045,07510353f060b8d6b8d94ee332b6d714,d831571fe06ef207c806e14c97eafb22,,40.636737,-73.933625,Brooklyn,NY,11203,,District 75,Kings (Brooklyn),f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,Health & Life Science,Math & Science,Other,highest poverty,Grades PreK-2,30,478.47,562.91,6,f,f,5/11/2014
222211704d0d75cd6e8d2142766a4918,20de53e5b4256f28e0c545f753e155bd,607ae9c77d36afe599a8b4e5ef0f2525,4.82406E+11,32.826298,-97.169121,Hurst,TX,76053,suburban,Hurst-euless-bedford Isd,Tarrant,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,30,429.29,505.05,25,f,f,5/11/2014
cb4d4ecdc6f2f33c3e0e3be5bc0dba7c,2133fc46f951f1e7d60645b0f9e48a6c,4f12c3fa0c1cce823c7ba1df57e90ccb,3.60015E+11,40.641727,-73.965655,Brooklyn,NY,11226,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Mr.,t,f,Special Needs,Special Needs,Literacy,Literacy & Language,Other,highest poverty,Grades 3-5,30,434.83,511.56,12,f,f,5/11/2014
bdc35fa6476909d4c62b39491af3183d,eab295825a5ef633b2079295869c8231,a893dc8a7eee40616555bed417e5f733,4.84095E+11,29.305878,-98.671834,San Antonio,TX,78252,rural,Southwest Ind School District,Bexar,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,Literacy,Literacy & Language,Supplies,highest poverty,Grades PreK-2,30,415.54,488.87,16,f,f,5/11/2014
dbb0371432d07b7e7a67b2e3578967a7,71ff6cddcf7bd7d58760470f52792485,253549b5752d520d3acc3b6d96df1f2b,63441005626,37.753613,-122.419875,San Francisco,CA,94110,urban,San Francisco Unified Sch Dist,San Francisco,f,f,f,f,f,f,Ms.,f,f,Applied Sciences,Math & Science,Parent Involvement,Applied Learning,Technology,highest poverty,Grades 3-5,30,459.27,540.32,600,f,f,5/11/2014
93fdea4933f719d63addcc512463c8c8,1c7d7a8ea1cf05346461b210fdeeac8b,ef07a4100aa8415776f23a625928923d,4.00951E+11,34.498756,-97.116074,Davis,OK,73030,rural,Davis School District I-10,Murray,f,f,f,f,f,f,Mrs.,f,f,Environmental Science,Math & Science,Literacy,Literacy & Language,Technology,high poverty,Grades PreK-2,30,412.23,484.98,125,f,f,5/11/2014
6232538cdc97fe2c076715b2315d6399,5dc36e6e54223d8a4b8a9c424d61b238,adec9da73fac60fa4da99afbfe806df0,3.20006E+11,36.169095,-115.201052,Las Vegas,NV,89107,urban,Clark Co School District,Clark,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Supplies,highest poverty,Grades 3-5,30,782.37,920.44,95,f,f,5/11/2014
e0f2391764202f001bfc74af0c15c86c,063e130c98f0d19e13d87d311cb207c0,2b5dde608629ab05328c3a8a0d6f0621,5.30354E+11,47.502087,-122.316475,Seattle,WA,98168,suburban,Highline School District 401,King,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,Early Development,Applied Learning,Supplies,highest poverty,Grades PreK-2,30,244.12,287.2,24,f,f,5/11/2014
438b723eb8de16b88444376c41ac3a31,86bb4c9de3a616e5460a3ee1be785742,40f660694be8f47ad21e1b23ddf44e6f,10180000638,34.691028,-86.614999,Huntsville,AL,35805,urban,Huntsville City School Dist,Madison,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,highest poverty,Grades PreK-2,30,345.07,405.96,24,f,f,5/11/2014
4575cc6f10cf5717524a8e0779822e26,1202ef113d991df36c9abcb9bac15926,06b2f4af82c1a1fe5dc1556e5f5d73c0,3.70345E+11,34.771262,-77.426658,Jacksonville,NC,28540,urban,Onslow Co School District,Onslow,f,f,f,f,f,f,Mrs.,f,f,Environmental Science,Math & Science,Literacy,Literacy & Language,Supplies,highest poverty,Grades 3-5,30,354.27,416.79,27,f,f,5/11/2014
82cda28a7b11bac47979e74b2c22b46e,6c4fd6e0cac499eaefa778c9e1db67fc,5160eb120570f6f42ad76f3a47b4f112,63441005628,37.721759,-122.442949,San Francisco,CA,94112,urban,San Francisco Unified Sch Dist,San Francisco,f,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades 6-8,30,2231.93,2625.8,120,f,f,5/11/2014
46e77ce73a3a3b6c12ab5c0ffd0b52af,6c83512dc35eca947577d4a828d4ae62,bc860e23d84cbfc4d76df196c8a1f7a4,1.80639E+11,40.568604,-85.64222,Marion,IN,46952,,Marion Cmty School District,Grant,f,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,30,1197.41,1408.72,19,f,f,5/11/2014
40ba7fe1086c3d96ed1e58aed719fc7c,163fd6a68721bb57b485e70a7fc5ff09,e36c1536258303b435fb4717b308a22e,5.5096E+11,43.139758,-88.010448,Milwaukee,WI,53223,urban,Milwaukee Public Schools,Milwaukee,t,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,highest poverty,Grades 9-12,30,428.78,504.45,120,f,f,5/11/2014
b2d7da463892b66206fc0b6493b14688,f4760944afcb5b1f8bdad849ad0e1a83,97cf2a82451f89be6c0bd1e0d21ac33d,1.30129E+11,33.790884,-84.562887,Mableton,GA,30126,suburban,Cobb Co School District,Cobb,f,f,f,f,f,f,Mrs.,f,f,ESL,Literacy & Language,Literacy,Literacy & Language,Technology,highest poverty,Grades PreK-2,30,1772.09,2084.81,25,f,f,5/11/2014
5b643940ca27c0a74d27104bac37a722,6a4475c4afbc68de41c181e2f0b175f9,11c6845393ab327399af1ebbe517f753,63375005204,33.981813,-117.885156,Rowland Hghts,CA,91748,suburban,Rowland Unified Sch District,Los Angeles,f,f,f,f,f,f,Mrs.,f,f,Applied Sciences,Math & Science,Mathematics,Math & Science,Technology,highest poverty,Grades 9-12,30,2016.92,2372.85,20,f,f,5/11/2014
b11a8ee9289cdf7e3bcb671a7d6da0d2,57de231ef1f94de7b7a4754ef67f5572,8c744dfd93680d6a85167dba2afc16fd,1.74125E+11,42.387016,-87.834915,Waukegan,IL,60087,suburban,Waukegan Cmty Unit SD 60,Lake,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Applied Sciences,Math & Science,Supplies,highest poverty,Grades 3-5,30,941.21,1107.31,15,f,f,5/11/2014
716b430f48b9e7a27803cd4b54c273f4,f0661e236badac8af952652ce03f9daf,bfe72c9268dd190485222d845baae2f4,3.60012E+11,40.760291,-73.818394,Flushing,NY,11355,urban,New York City Dept Of Ed,Queens,f,f,f,t,f,f,Mr.,f,t,Applied Sciences,Math & Science,ESL,Literacy & Language,Supplies,highest poverty,Grades 9-12,30,1847.43,2173.45,75,f,f,5/11/2014
38aa6ba26704ef93b2072b65d6bf713f,3ec26ecf29eb8afd9b10f950e2cd95ad,dc2fc81f87f213e8f4c21a81b82a9349,4.0306E+11,36.113338,-95.828336,Tulsa,OK,74134,urban,Union Pub School District I-9,Tulsa,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,History & Geography,History & Civics,Books,highest poverty,Grades 3-5,30,291.47,342.91,22,t,f,5/11/2014
49e75ba313c070da20e20a91d9feaf9e,b38f0410b4163f2b0063b6ea4be56541,ad6e5d14ac5304caf6a988c695b92b0f,2.50354E+11,42.393825,-71.036434,Chelsea,MA,2150,suburban,Chelsea School District,Suffolk,f,f,f,f,f,f,Mrs.,f,f,Environmental Science,Math & Science,Health & Life Science,Math & Science,Technology,highest poverty,Grades 3-5,30,1813.33,2133.33,120,f,f,5/11/2014
f8d8a21eb383c1abce61bbba4c808155,822b7b8768c17456fdce78b65abcc18e,f2ad972d69e0280c5d78f7cad8a0eef5,2.80063E+11,30.442463,-88.944579,Biloxi,MS,39532,rural,Biloxi School District,Harrison,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Environmental Science,Math & Science,Books,high poverty,Grades PreK-2,30,1235.27,1453.26,24,f,f,5/11/2014
78d6c2d7908d67e334dbffba19d3adfb,57de231ef1f94de7b7a4754ef67f5572,8c744dfd93680d6a85167dba2afc16fd,1.74125E+11,42.387016,-87.834915,Waukegan,IL,60087,suburban,Waukegan Cmty Unit SD 60,Lake,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades 3-5,30,2293.93,2698.74,12,f,f,5/11/2014
1e0e96759de9f0773419919f1561c626,b6bc1a4d445f36ab942fd4d4cabc7b93,5554bae018bcfc2a5758da806e126af8,2.31158E+11,45.430416,-69.107094,Brownville,ME,4414,rural,Aos 43,Piscataquis,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,Literacy,Literacy & Language,Supplies,high poverty,Grades 3-5,30,274.94,323.46,120,f,f,5/11/2014
7a86c0ee26a388ef63018e68d22c1b02,5efbf77b24c85f78a064c6fc584cd667,def9654c0657cb915a3b8d0227f7bbc1,,30.440653,-97.663223,Pflugerville,TX,78660,suburban,Harmony Ind School District,Travis,t,f,f,f,f,f,Ms.,f,f,ESL,Literacy & Language,Literacy,Literacy & Language,Books,highest poverty,Grades 6-8,30,896.99,1055.28,150,f,f,5/11/2014
8ed1459650828dc61935a09519b3f1c6,7720eb1ffaaab42a6d21d38450605e50,09a626e28da1314a2df6134a4850b1ae,3.61071E+11,42.096901,-76.050636,Endicott,NY,13760,suburban,Union-endicott School District,Broome,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,,,Supplies,high poverty,Grades 9-12,30,156.78,184.45,120,f,f,5/11/2014
6bbb02726882a72f2b033897e8a077f2,0fc06e3beb674ad10dff530821b595f0,d4ba93c87d4baccb9672b9799a6fbbad,4.2224E+11,39.889133,-75.281219,Folcroft,PA,19032,suburban,Southeast Delco School Dist,Delaware,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Character Education,Applied Learning,Books,highest poverty,Grades 3-5,30,158.5,186.47,30,f,f,5/11/2014
953ac7236ad341ef57c4e676f1af930d,41ea8d8cf0257e8cca829f025d2be33f,299326d9cfdc9ada05dcd305ca0bd48f,4.8411E+11,29.776239,-95.600555,Houston,TX,77079,urban,Spring Branch Ind Sch District,Harris,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Literacy,Literacy & Language,Supplies,highest poverty,Grades 3-5,30,137.32,161.55,20,f,f,5/11/2014
2147655de31e033cd61d10a3b0d3bea3,4222ac338fa20b1a111bdeb0324d6e73,0d3c023240411d9a17e7273af5f5ce34,1.80477E+11,39.839882,-86.1492,Indianapolis,IN,46205,urban,Indianapolis Public Sch Dist,Marion,f,t,f,f,f,f,Ms.,f,f,Social Sciences,History & Civics,Literacy,Literacy & Language,Technology,highest poverty,Grades 3-5,30,588.15,691.94,20,f,f,5/11/2014
4cc7016d921144fcfce9e28832bd3e8b,e212e666fdc06b25fcc6fb0590624f27,9cdc4328caae68330ccda91bc882a356,64245006949,33.986544,-118.067603,Whittier,CA,90606,suburban,Whittier City School District,Los Angeles,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,Literacy,Literacy & Language,Books,highest poverty,Grades PreK-2,30,368.55,433.59,15,f,f,5/11/2014
98f5aedeb22185a3fe0b985052604799,6736d3decc85844d5d6862aa01703470,dcf701baeac80718581cfd03de68d98e,62271002871,34.119095,-118.206467,Los Angeles,CA,90042,urban,Los Angeles Unif Sch Dist,Los Angeles,f,t,t,f,f,f,Mrs.,f,f,Applied Sciences,Math & Science,Literature & Writing,Literacy & Language,Technology,high poverty,Grades 3-5,30,450.01,529.42,100,f,f,5/11/2014
c9034f6b59ab02fbaa8263793a261b64,3c8bac50f86bdc9f8b976ac2c605c244,254db06173937055c9db609fc8201139,1.70993E+11,41.805624,-87.725783,Chicago,IL,60632,urban,Midway Elementary Network,Cook,f,f,t,f,f,f,Mr.,f,f,Music,Music & The Arts,Performing Arts,Music & The Arts,Supplies,highest poverty,Grades 6-8,30,2051.7,2413.76,20,f,f,5/11/2014
73fad93806d3be9536983832edaf66de,8872bafccde152111627ea1a9452dd2b,72ae56d0931fa29cf2cab3802265e2f4,90474000956,41.485065,-72.833977,Wallingford,CT,6492,suburban,Wallingford School District,New Haven,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,,,Technology,moderate poverty,Grades 9-12,30,1222.3,1438,78,f,f,5/11/2014
ce2f5d9be6457f7f24877550cdbdd3c3,3d9c5c00436da4961e8b28197cfdca64,5ac272b2fdd1a3f29b061b5960d223d5,1.30186E+11,33.762661,-84.645157,Lithia Spgs,GA,30122,suburban,Douglas Co School District,Douglas,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Books,highest poverty,Grades PreK-2,30,355.15,417.82,21,f,f,5/11/2014
54e69fba183d1ceaeeb6995cb7c0e9d9,cd6fc1a504e72bc948a297fad436087b,a34735bf6e2a0b113c34cbd31d28ef41,62954011570,39.473618,-121.533745,Oroville,CA,95966,,Palermo Union Elem Sch Dist,Butte,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,Character Education,Applied Learning,Books,highest poverty,Grades 3-5,30,443.21,521.42,30,f,f,5/11/2014
6becd701b4524494f45f2d6d68001b44,72595e27b06c53855f4e2c9517a4a1f0,f7ff308736b8b07ba980b21cfd3cd483,3.601E+11,40.668652,-73.917786,Brooklyn,NY,11212,urban,New York City Dept Of Ed,Kings (Brooklyn),t,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Supplies,highest poverty,Grades PreK-2,30,432.82,509.2,29,f,f,5/11/2014
24dc77335e4fd40389ff797902316cd8,aba782c153e5419be070eaff19db23e5,8f91d278eea27f04029ca98e700e737d,,42.43808,-83.206398,Detroit,MI,48235,urban,Michigan Dept of Education,Wayne,t,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Literacy,Literacy & Language,Supplies,high poverty,Grades PreK-2,30,545.25,641.47,22,f,f,5/11/2014
a9a139014334b4c94f87376d01e6d1d4,d4f09a745247a4995471d4ab05013255,de2ef2d88c4ead368aa868dfd2007edd,3.60246E+11,42.673618,-73.81604,Albany,NY,12203,urban,Albany City School District,Albany,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,,,Supplies,high poverty,Grades 3-5,30,738.63,868.98,21,f,f,5/11/2014
2ac6638a527cf765c042ae982f625c4a,cd4ebdc927d6e4fba7698fd0b76fca0a,90c9c394f154f6b2246bf8a42e1e4920,3.60012E+11,40.691169,-73.868787,Brooklyn,NY,11208,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mr.,f,f,Visual Arts,Music & The Arts,,,Technology,highest poverty,Grades 9-12,30,667.17,784.91,40,f,f,5/11/2014
6d1362eb10cc30b63dcb298d17d106e9,f4e279cdb5a395b97440093d340da3e9,21e3524f556a492125fe137cfd74b20a,3.60009E+11,40.882864,-73.830455,Bronx,NY,10475,urban,New York City Dept Of Ed,Bronx,f,f,f,t,f,f,Mrs.,f,f,Literacy,Literacy & Language,Special Needs,Special Needs,Books,highest poverty,Grades PreK-2,30,232.94,274.05,6,f,f,5/11/2014
2b2d303baba64d1596d95cadec6477cb,5aaf2b91523f569079453d99737972e5,990b5d8a85a22f43b686a17f17163496,,40.79578,-73.944404,New York,NY,10029,,District 75,New York (Manhattan),f,f,f,f,f,f,Ms.,f,t,Visual Arts,Music & The Arts,Special Needs,Special Needs,Technology,highest poverty,Grades 6-8,30,389.97,458.79,50,f,f,5/11/2014
0c0416aac7e595132e159d297758f65f,c471531c5a583300c1596550d3d493c9,2e13eea27538fd4c242e16b0f0e76e1c,1.30255E+11,33.929065,-84.000197,Lawrenceville,GA,30046,suburban,Gwinnett Co Public School Dist,Gwinnett,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Other,highest poverty,Grades PreK-2,30,507.59,597.16,18,f,f,5/11/2014
60a6df4ab44d1f7651eb3ee0cf63a06e,d76673b42607872c993ca43b0c396211,f9129a6e2699c154a937bfebc6f2255a,4.70372E+11,36.503117,-84.533333,Oneida,TN,37841,,Scott Co School District,Scott,f,f,f,f,f,f,Mr.,f,f,Music,Music & The Arts,Performing Arts,Music & The Arts,Supplies,highest poverty,Grades 6-8,30,638.99,751.75,50,f,f,5/11/2014
96f2713bfdf9a0a94ba2ed27c46fbb70,15d3ae35ac95902996752b9b7d82fac3,ab022d9da03a1c008b85d4b51e247e08,4.70294E+11,35.174573,-89.756393,Cordova,TN,38016,rural,Memphis City School District,Shelby,f,f,f,t,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Supplies,highest poverty,Grades 9-12,30,384.41,452.25,125,f,f,5/11/2014
3db7b193689e9b58aa084d607fdcb874,970cf0be3e89cbbd53b76decb1a282e4,2ba4358fd145ca4917842e54305f9218,50001901092,35.758222,-91.500628,Sulphur Rock,AR,72579,rural,Batesville School District,Independence,f,t,f,f,f,f,Ms.,f,f,Early Development,Applied Learning,Literacy,Literacy & Language,Supplies,high poverty,Grades PreK-2,30,253.81,298.6,20,f,f,5/11/2014
85a1ecd9d03983b3caa52ea9c50f7ee9,864eb466462bf704bf7a16a585ef296a,d711e47810900c96f26a5d0be30c446d,4.83702E+11,32.911179,-96.72364,Dallas,TX,75243,urban,Richardson Ind School District,Dallas,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Economics,History & Civics,Books,highest poverty,Grades PreK-2,30,550.4,647.53,21,f,f,5/11/2014
31e05123d05abc404c9a0771d94f5d6b,c7393338e90f724c35e20132bc5fc82f,be3daf1595ccae173c56f288d5e25a85,,39.84586,-104.686277,Denver,CO,80249,,Denver Public School Dist 1,Denver,t,f,f,f,f,f,Ms.,t,f,Mathematics,Math & Science,ESL,Literacy & Language,Supplies,highest poverty,Grades 3-5,30,427.32,502.73,26,f,f,5/11/2014
f6b299050a6edb84cae7466a2443a47a,34b0be91c3ebf728deedfe8b899b02d5,77597b4f28a2998fbc224c85c0ee2041,3.70192E+11,36.119686,-79.765367,Greensboro,NC,27405,urban,Guilford Co School District,Guilford,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,Applied Sciences,Math & Science,Supplies,highest poverty,Grades 3-5,30,248.55,292.41,123,f,f,5/11/2014
d3ba27c6e35975744545c248dfb85f47,47371900a710972dde25d5fc30d40b82,c43b233fa37ff09b38c9f864aa9cfb94,5.10078E+11,38.052193,-78.472768,Charlottesville,VA,22901,,Charlottesville City Sch Dist,Albemarle,f,f,f,f,f,f,Mr.,f,f,Civics & Government,History & Civics,History & Geography,History & Civics,Technology,high poverty,Grades 9-12,30,578.08,680.09,100,f,f,5/11/2014
244b1547779f97645b29f8de86078200,144ac2cad0b8cab1ec8a700552305438,35e16fbb1f209e42bdf31735fabd9562,,34.221744,-118.461295,North Hills,CA,91343,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,t,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Special Needs,Special Needs,Technology,highest poverty,Grades PreK-2,30,557.37,655.73,32,f,f,5/11/2014
65690b98bd55ff06b7f3d215039e08f4,ae026c7d793d4173703cd1a1ac13b5e8,38a1d9da72bf2fff4e9d917877f235fb,1.70993E+11,41.743874,-87.605324,Chicago,IL,60619,urban,Skyway Elem Network,Cook,f,f,f,f,f,f,Mrs.,f,f,Performing Arts,Music & The Arts,Visual Arts,Music & The Arts,Technology,highest poverty,Grades 6-8,30,425.73,500.86,598,f,f,5/11/2014
5212edbccf48aaacb7d3400bacddc704,6b751588c13bfbb0a09b0f59df273163,a184f3b9a6494863848ad19febafd067,1.30111E+11,34.110236,-84.524527,Woodstock,GA,30188,suburban,Cherokee Co School District,Cherokee,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,,,Supplies,high poverty,Grades 3-5,30,458.91,539.89,52,f,f,5/11/2014
2fd421964124280feb90dda388314ddc,69a86651a45547c6429d9e2c242f5b26,a909cc48506730304b23547961ea5606,5.30354E+11,47.397661,-122.301891,Des Moines,WA,98198,suburban,Highline School District 401,King,f,f,f,f,f,f,Ms.,f,f,Applied Sciences,Math & Science,Mathematics,Math & Science,Technology,high poverty,Grades 6-8,30,416.39,489.87,700,f,f,5/11/2014
cb971987ab05ffa8d6ab1b999d14bab9,d6c07669500a8b6a0b0baaa1690375e5,2c1db71b8168db3f1a13ea8e21ffcb0b,2.40009E+11,39.324211,-76.551582,Baltimore,MD,21206,urban,Baltimore City Public Sch Dist,Baltimore City,f,f,f,t,f,f,Ms.,t,f,Health & Life Science,Math & Science,Literacy,Literacy & Language,Technology,highest poverty,Grades 6-8,30,183.71,216.13,100,f,f,5/11/2014
